date_time,elevation,temperature
2026-02-25 12:00:00,1100,-11.17
2026-02-26 12:00:00,300,-0.67
2026-02-26 12:00:00,500,-0.03
2026-02-26 12:00:00,800,-4.29
2026-02-26 12:00:00,1100,-7.76
2026-02-27 12:00:00,300,1.39
2026-02-27 12:00:00,500,0.95
2026-02-27 12:00:00,800,-4.82
2026-02-27 12:00:00,1100,-7.58
2026-02-28 12:00:00,300,1.74
2026-02-28 12:00:00,500,-0.83
2026-02-28 12:00:00,800,-4.97
2026-02-28 12:00:00,1100,-7.91
2026-03-01 12:00:00,300,-1.36
2026-03-01 12:00:00,500,-2.91
2026-03-01 12:00:00,800,-9.74
2026-03-01 12:00:00,1100,-11.0
2026-03-02 12:00:00,300,2.55
2026-03-02 12:00:00,500,-2.99
2026-03-02 12:00:00,800,-4.69
2026-03-02 12:00:00,1100,-7.69
2026-03-03 12:00:00,300,1.21
2026-03-03 12:00:00,500,-4.24
2026-03-03 12:00:00,800,-3.73
2026-03-03 12:00:00,1100,-7.91
2026-03-04 12:00:00,300,0.03
2026-03-04 12:00:00,500,-0.71
2026-03-04 12:00:00,800,-5.64
2026-03-04 12:00:00,1100,-7.12
2026-03-05 12:00:00,300,0.34
2026-03-05 12:00:00,500,-0.07
2026-03-05 12:00:00,800,-4.38
2026-03-05 12:00:00,1100,-6.63
2026-03-06 12:00:00,300,1.48
2026-03-06 12:00:00,500,-4.59
2026-03-06 12:00:00,800,-8.45
2026-03-06 12:00:00,1100,-9.42
2026-03-07 12:00:00,300,1.67
2026-03-07 12:00:00,500,-3.49
2026-03-07 12:00:00,800,-3.93
2026-03-07 12:00:00,1100,-5.18
2026-03-08 12:00:00,300,1.0
2026-03-08 12:00:00,500,-3.68
2026-03-08 12:00:00,800,-6.6
2026-03-08 12:00:00,1100,-8.0
2026-03-09 12:00:00,300,2.14
2026-03-09 12:00:00,500,-2.09
2026-03-09 12:00:00,800,-4.01
2026-03-09 12:00:00,1100,-10.15
2026-03-10 12:00:00,300,-0.87
2026-03-10 12:00:00,500,0.77
2026-03-10 12:00:00,800,-2.88
2026-03-10 12:00:00,1100,-8.59
2026-03-11 12:00:00,300,2.07
2026-03-11 12:00:00,500,-2.49
2026-03-11 12:00:00,800,-5.32
2026-03-11 12:00:00,1100,-5.24
2026-03-12 12:00:00,300,-0.56
2026-03-12 12:00:00,500,-1.16
2026-03-12 12:00:00,800,-5.47
2026-03-12 12:00:00,1100,-5.62
2026-03-13 12:00:00,300,1.89
2026-03-13 12:00:00,500,-1.72
2026-03-13 12:00:00,800,-7.91
2026-03-13 12:00:00,1100,-11.94
2026-03-14 12:00:00,300,-1.47
2026-03-14 12:00:00,500,-2.44
2026-03-14 12:00:00,800,-3.12
2026-03-14 12:00:00,1100,-8.11
2026-03-15 12:00:00,300,-0.79
2026-03-15 12:00:00,500,0.49
2026-03-15 12:00:00,800,-3.48
2026-03-15 12:00:00,1100,-9.29
2026-03-16 12:00:00,300,1.12
2026-03-16 12:00:00,500,-2.81
2026-03-16 12:00:00,800,-4.62
2026-03-16 12:00:00,1100,-10.51
2026-03-17 12:00:00,300,1.84
2026-03-17 12:00:00,500,-0.96
2026-03-17 12:00:00,800,-7.87
2026-03-17 12:00:00,1100,-6.93
2026-03-18 12:00:00,300,-0.78
2026-03-18 12:00:00,500,-1.92
2026-03-18 12:00:00,800,-7.35
2026-03-18 12:00:00,1100,-8.61
2026-03-19 12:00:00,300,1.97
2026-03-19 12:00:00,500,-4.57
2026-03-19 12:00:00,800,-5.1
2026-03-19 12:00:00,1100,-6.1
2026-03-20 12:00:00,300,1.89
2026-03-20 12:00:00,500,-2.36
2026-03-20 12:00:00,800,-9.6
2026-03-20 12:00:00,1100,-9.62
2026-03-21 12:00:00,300,1.27
2026-03-21 12:00:00,500,-3.47
2026-03-21 12:00:00,800,-4.51
2026-03-21 12:00:00,1100,-8.03
2026-03-22 12:00:00,300,1.46
2026-03-22 12:00:00,500,0.14
2026-03-22 12:00:00,800,-6.62
2026-03-22 12:00:00,1100,-8.31
2026-03-23 12:00:00,300,1.16
2026-03-23 12:00:00,500,-0.26
2026-03-23 12:00:00,800,-8.67
2026-03-23 12:00:00,1100,-8.77
2026-03-24 12:00:00,300,1.33
2026-03-24 12:00:00,500,-2.17
2026-03-24 12:00:00,800,-5.58
2026-03-24 12:00:00,1100,-6.58
2026-03-25 12:00:00,300,-0.24
2026-03-25 12:00:00,500,-4.02
2026-03-25 12:00:00,800,-3.64
2026-03-25 12:00:00,1100,-7.28
2026-03-26 12:00:00,300,-0.97
2026-03-26 12:00:00,500,-3.66
2026-03-26 12:00:00,800,-3.19
2026-03-26 12:00:00,1100,-6.7
2026-03-27 12:00:00,300,-1.6
2026-03-27 12:00:00,500,-1.81
2026-03-27 12:00:00,800,-9.44
2026-03-27 12:00:00,1100,-8.52
2026-03-28 12:00:00,300,0.19
2026-03-28 12:00:00,500,-1.68
2026-03-28 12:00:00,800,-3.52
2026-03-28 12:00:00,1100,-8.14
2026-03-29 12:00:00,300,1.56
2026-03-29 12:00:00,500,-4.47
2026-03-29 12:00:00,800,-4.23
2026-03-29 12:00:00,1100,-5.51
2026-03-30 12:00:00,300,1.72
2026-03-30 12:00:00,500,-2.55
2026-03-30 12:00:00,800,-6.89
2026-03-30 12:00:00,1100,-6.48
2026-03-31 12:00:00,300,0.43
2026-03-31 12:00:00,500,-2.54
2026-03-31 12:00:00,800,-4.75
2026-03-31 12:00:00,1100,-11.02
